Feature 1,Feature 2,Correlation
m_wwbb,m_wbb,0.8928671374448717
m_wbb,m_wwbb,0.8928671374448717
m_jj,m_jjj,0.7942999445504652
m_jjj,m_jj,0.7942999445504652
m_jjj,m_wbb,0.6040384907994132
m_wbb,m_jjj,0.6040384907994132
m_wwbb,m_jjj,0.5817081592974016
m_jjj,m_wwbb,0.5817081592974016
m_wbb,m_jlv,0.5610100483988042
m_jlv,m_wbb,0.5610100483988042
m_wbb,m_bb,0.5541124517662276
m_bb,m_wbb,0.5541124517662276
m_wwbb,m_jlv,0.5421634670030036
m_jlv,m_wwbb,0.5421634670030036
jet2_pt,jet1_pt,0.48565016863040955
jet1_pt,jet2_pt,0.48565016863040955
m_wbb,jet1_pt,0.47676205112470693
jet1_pt,m_wbb,0.47676205112470693
m_jj,m_wwbb,0.459553395776234
m_wwbb,m_jj,0.459553395776234
m_jj,m_wbb,0.4515769103903118
m_wbb,m_jj,0.4515769103903118
jet1_pt,m_wwbb,0.4464374350352678
m_wwbb,jet1_pt,0.4464374350352678
jet2_pt,m_wbb,0.43908027181364223
m_wbb,jet2_pt,0.43908027181364223
m_bb,m_wwbb,0.4063124086523059
m_wwbb,m_bb,0.4063124086523059
m_wwbb,jet2_pt,0.39216536440555766
jet2_pt,m_wwbb,0.39216536440555766
m_bb,jet2_pt,0.37983480741303255
jet2_pt,m_bb,0.37983480741303255
m_bb,jet1_pt,0.33108000258871245
jet1_pt,m_bb,0.33108000258871245
jet3_pt,m_wbb,0.29030092162606613
m_wbb,jet3_pt,0.29030092162606613
jet3_pt,jet2_pt,0.2902233965023624
jet2_pt,jet3_pt,0.2902233965023624
jet3_pt,jet4_pt,0.2883447536153297
jet4_pt,jet3_pt,0.2883447536153297
m_wwbb,missing_energy_magnitude,0.28831141319128056
missing_energy_magnitude,m_wwbb,0.28831141319128056
m_jlv,missing_energy_magnitude,0.2788482967042908
missing_energy_magnitude,m_jlv,0.2788482967042908
m_jlv,m_bb,0.2745395833361091
m_bb,m_jlv,0.2745395833361091
m_wwbb,jet3_pt,0.2719771545269618
jet3_pt,m_wwbb,0.2719771545269618
m_bb,jet1_btag,0.2708123804263716
jet1_btag,m_bb,0.2708123804263716
jet3_pt,jet1_pt,0.2697825715176452
jet1_pt,jet3_pt,0.2697825715176452
jet2_eta,lepton_eta,0.2672857220452023
lepton_eta,jet2_eta,0.2672857220452023
jet2_btag,jet1_btag,-0.2659530958808085
jet1_btag,jet2_btag,-0.2659530958808085
lepton_pT,m_lv,0.2655205678751895
m_lv,lepton_pT,0.2655205678751895
m_jlv,jet1_pt,0.26509369624056317
jet1_pt,m_jlv,0.26509369624056317
jet1_eta,lepton_eta,0.26390614734863116
lepton_eta,jet1_eta,0.26390614734863116
m_jjj,jet2_pt,0.2584108131479304
jet2_pt,m_jjj,0.2584108131479304
jet3_btag,jet4_btag,-0.2574929527351461
jet4_btag,jet3_btag,-0.2574929527351461
jet1_pt,m_jjj,0.2564801096434419
m_jjj,jet1_pt,0.2564801096434419
jet1_btag,jet3_btag,-0.2512614400955622
jet3_btag,jet1_btag,-0.2512614400955622
jet3_pt,m_bb,0.24917588341239788
m_bb,jet3_pt,0.24917588341239788
jet1_eta,jet2_eta,0.2490786480204159
jet2_eta,jet1_eta,0.2490786480204159
jet4_btag,jet2_btag,-0.2456177958890557
jet2_btag,jet4_btag,-0.2456177958890557
m_jjj,jet3_pt,0.24449547369572108
jet3_pt,m_jjj,0.24449547369572108
jet2_btag,jet3_btag,-0.2442350107619811
jet3_btag,jet2_btag,-0.2442350107619811
jet4_btag,jet1_btag,-0.234474865665744
jet1_btag,jet4_btag,-0.234474865665744
jet1_eta,jet3_eta,0.23283968032949962
jet3_eta,jet1_eta,0.23283968032949962
lepton_eta,jet3_eta,0.2251648390410116
jet3_eta,lepton_eta,0.2251648390410116
jet2_eta,jet3_eta,0.21580539185834557
jet3_eta,jet2_eta,0.21580539185834557
m_bb,jet4_btag,-0.20392586707068977
jet4_btag,m_bb,-0.20392586707068977
jet2_pt,m_jlv,0.20278773344502576
m_jlv,jet2_pt,0.20278773344502576
missing_energy_magnitude,m_wbb,0.20127375357479818
m_wbb,missing_energy_magnitude,0.20127375357479818
jet1_eta,jet4_eta,0.20116868027736692
jet4_eta,jet1_eta,0.20116868027736692
jet4_pt,jet4_btag,0.1978768035204881
jet4_btag,jet4_pt,0.1978768035204881
jet1_phi,jet2_phi,-0.19435128892904804
jet2_phi,jet1_phi,-0.19435128892904804
jet3_btag,jet3_pt,0.18898592452935264
jet3_pt,jet3_btag,0.18898592452935264
jet4_eta,lepton_eta,0.18346182630671393
lepton_eta,jet4_eta,0.18346182630671393
jet1_pt,missing_energy_magnitude,0.18301696467053172
missing_energy_magnitude,jet1_pt,0.18301696467053172
jet2_pt,m_jj,0.18271411731007614
m_jj,jet2_pt,0.18271411731007614
jet1_pt,m_jj,0.18221028792793642
m_jj,jet1_pt,0.18221028792793642
jet4_pt,jet2_pt,0.18121865531414966
jet2_pt,jet4_pt,0.18121865531414966
m_jjj,jet4_pt,0.18040927994945466
jet4_pt,m_jjj,0.18040927994945466
missing_energy_magnitude,m_lv,0.18004868839264473
m_lv,missing_energy_magnitude,0.18004868839264473
